HOG	OG	Gene Tree Parent Clade	ACYPI	MYZPE	SIPHA
N1.HOG0000000	OG0000000	n4	Phy00BWYU1_ACYPI	Phy007AQ1S_MYZPE	
N1.HOG0000001	OG0000000	n6	Phy000YERN_ACYPI	Phy007AZVI_MYZPE	
N1.HOG0000002	OG0000000	n7	Phy007B5SL_ACYPI	Phy007APX7_MYZPE, Phy007AXYQ_MYZPE	
N1.HOG0000003	OG0000000	n10	Phy0010904_ACYPI	Phy007ANJV_MYZPE	
N1.HOG0000004	OG0000000	n13	Phy00BWZPL_ACYPI	Phy007ANNR_MYZPE, Phy007AO77_MYZPE, Phy007AZK2_MYZPE	
N1.HOG0000005	OG0000000	n16	Phy00BX0EP_ACYPI	Phy007APVO_MYZPE	
N1.HOG0000006	OG0000000	n19	Phy00BX2GR_ACYPI	Phy007ATEY_MYZPE	
N1.HOG0000007	OG0000000	n20	Phy00BX0YT_ACYPI	Phy007ARQ5_MYZPE, Phy007AT0P_MYZPE	
N1.HOG0000008	OG0000000	n23	Phy00BWZ7U_ACYPI	Phy007AQLN_MYZPE	
N1.HOG0000009	OG0000000	n24	Phy00BX36V_ACYPI	Phy007ATY3_MYZPE, Phy007AX6C_MYZPE, Phy007AYEX_MYZPE	
N1.HOG0000010	OG0000001	n2		Phy007AN2X_MYZPE, Phy007AOUB_MYZPE, Phy007APXD_MYZPE, Phy007APYC_MYZPE, Phy007AZ18_MYZPE	
N1.HOG0000011	OG0000001	n8	Phy00BWYUS_ACYPI	Phy007APY3_MYZPE	
N1.HOG0000012	OG0000001	n10	Phy00BWWAG_ACYPI	Phy007ALWY_MYZPE, Phy007AQS1_MYZPE	
N1.HOG0000013	OG0000001	n12	Phy00BX47C_ACYPI	Phy007AMPM_MYZPE, Phy007ANVY_MYZPE, Phy007AONY_MYZPE, Phy007AYSI_MYZPE, Phy007AZ12_MYZPE	
N1.HOG0000014	OG0000002	n0	Phy000YEY6_ACYPI, Phy000YKW1_ACYPI, Phy000YM22_ACYPI, Phy000YNKS_ACYPI, Phy000YNOI_ACYPI, Phy000YOD3_ACYPI, Phy000YQJS_ACYPI, Phy00108OL_ACYPI, Phy00108XS_ACYPI, Phy0010CGL_ACYPI, Phy00423OC_ACYPI, Phy00427T9_ACYPI, Phy00429KH_ACYPI, Phy00BWX03_ACYPI, Phy00BWXNB_ACYPI	Phy007AWS9_MYZPE	
N1.HOG0000015	OG0000003	n3		Phy007AM34_MYZPE, Phy007AONN_MYZPE, Phy007AQP1_MYZPE, Phy007AUCF_MYZPE	
N1.HOG0000016	OG0000003	n7	Phy00BWXF6_ACYPI	Phy007APAZ_MYZPE	
N1.HOG0000017	OG0000003	n8	Phy0041ZJG_ACYPI	Phy007ANP1_MYZPE, Phy007AO6Y_MYZPE	
N1.HOG0000018	OG0000004	n0	Phy00BWVH3_ACYPI, Phy00BX2WJ_ACYPI, Phy00BX4EA_ACYPI	Phy007AS8G_MYZPE, Phy007AS8X_MYZPE	
N1.HOG0000019	OG0000005	n2	Phy007B41V_ACYPI	Phy007AMG2_MYZPE, Phy007AZRU_MYZPE	
N1.HOG0000020	OG0000005	n4	Phy00BWXR7_ACYPI, Phy00BX0GK_ACYPI, Phy00BX0ZP_ACYPI	Phy007AOGX_MYZPE, Phy007AY06_MYZPE	
N1.HOG0000021	OG0000006	n0	Phy000XQ1P_ACYPI, Phy00BWVFM_ACYPI	Phy007ANB5_MYZPE, Phy007ANEM_MYZPE, Phy007AQ9I_MYZPE, Phy007AXCW_MYZPE, Phy007AZJ2_MYZPE	
N1.HOG0000022	OG0000007	n3	Phy00BWZTY_ACYPI	Phy007AMN4_MYZPE, Phy007AP6B_MYZPE, Phy007AQEA_MYZPE	
N1.HOG0000023	OG0000007	n6	Phy00BWW63_ACYPI	Phy007AO55_MYZPE	
N1.HOG0000024	OG0000008	n3	Phy00BWWY7_ACYPI, Phy00BX4O6_ACYPI	Phy007AWRQ_MYZPE	
N1.HOG0000025	OG0000008	n5	Phy00BWWXJ_ACYPI	Phy007AMST_MYZPE	
N1.HOG0000026	OG0000009	n3	Phy00BWVXA_ACYPI	Phy007AZ36_MYZPE	
N1.HOG0000027	OG0000009	n4	Phy00BWWRC_ACYPI	Phy007ARQN_MYZPE	
N1.HOG0000028	OG0000010	n0	Phy0010BYG_ACYPI, Phy0042AQW_ACYPI, Phy0042EDV_ACYPI, Phy00BX2H1_ACYPI	Phy007AWWE_MYZPE	
N1.HOG0000029	OG0000011	n0	Phy0010FJY_ACYPI, Phy0010H4C_ACYPI	Phy007AUHG_MYZPE, Phy007AVBU_MYZPE, Phy007AZIM_MYZPE	
N1.HOG0000030	OG0000012	n0	Phy00BX41V_ACYPI	Phy007AYU2_MYZPE	
N1.HOG0000031	OG0000013	n0	Phy00107VZ_ACYPI	Phy007AP5E_MYZPE	
N1.HOG0000032	OG0000014	n0	Phy00BWVTJ_ACYPI	Phy007ALX2_MYZPE, Phy007AMC8_MYZPE, Phy007AND2_MYZPE, Phy007AOI3_MYZPE, Phy007AT3X_MYZPE	
N1.HOG0000033	OG0000015	n0	Phy00BWZ6L_ACYPI, Phy00BX0K4_ACYPI	Phy007AM3S_MYZPE, Phy007AN98_MYZPE	
N1.HOG0000034	OG0000016	n0	Phy0010FAG_ACYPI	Phy007AYVO_MYZPE	
N1.HOG0000035	OG0000017	n0	Phy00BX1R4_ACYPI	Phy007AV3L_MYZPE	
N1.HOG0000036	OG0000018	n0	Phy00429PL_ACYPI, Phy00BX2MU_ACYPI, Phy00BX3MD_ACYPI		
